phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
memory CD8+ T cells,Effector CD8+ T cells,85835.0,F81P1_85835,31998.0931372549,48312.8676470588
M2 macrophages,M2 macrophages,85839.0,F81P1_85839,33075.756626506,47671.7710843374
memory CD4+ T cells,Regulatory T cells,86052.0,F81P1_86052,32025.5327102804,48002.714953271
memory CD4+ T cells,Regulatory T cells,86070.0,F81P1_86070,32271.034965035,47739.3146853147
memory CD4+ T cells,Regulatory T cells,86136.0,F81P1_86136,30860.0956937799,48022.2392344498
endothelial cells,Endothelial,86318.0,F81P1_86318,29590.249070632,48172.3531598513
CD4+ T cells,CD4+ T cells,86511.0,F81P1_86511,31350.0439189189,48448.1925675676
CD4+ T cells,CD4+ T cells,86591.0,F81P1_86591,31525.3157894737,47829.4912280702
stromal cells,Stromal,86648.0,F81P1_86648,31381.6578947368,47403.6447368421
endothelial cells,Endothelial,86686.0,F81P1_86686,33264.0038610039,47539.6640926641
stromal cells,Stromal,86765.0,F81P1_86765,32246.6298342541,47591.7237569061
CD4+ T cells,CD4+ T cells,86951.0,F81P1_86951,29662.8116883117,48572.0551948052
memory CD4+ T cells,Regulatory T cells,87274.0,F81P1_87274,31024.6592178771,48576.2402234637
effector CD8+ T cells,Effector CD8+ T cells,87297.0,F81P1_87297,32192.6074074074,47929.6148148148
endothelial cells,Endothelial,87370.0,F81P1_87370,31632.8081180812,47630.4501845018
memory CD4+ T cells,Regulatory T cells,87446.0,F81P1_87446,31029.7,48315.1571428571
stromal cells,Stromal,87562.0,F81P1_87562,30313.0367647059,47647.4558823529
endothelial cells,Endothelial,87695.0,F81P1_87695,31293.088372093,47459.4418604651
regulatory T cells,Regulatory T cells,87733.0,F81P1_87733,31471.2792792793,48469.8198198198
stromal cells,Stromal,87900.0,F81P1_87900,31034.9042553192,47563.5585106383
regulatory T cells,Regulatory T cells,87918.0,F81P1_87918,28877.8031088083,48658.0621761658
endothelial cells,Endothelial,87969.0,F81P1_87969,31231.2428571429,47451.0952380952
M2 macrophages,M2 macrophages,88019.0,F81P1_88019,32097.6092436975,48348.2478991597
CD4+ T cells,CD4+ T cells,88195.0,F81P1_88195,30701.4835164835,47600.7252747253
CD4+ T cells,CD4+ T cells,88344.0,F81P1_88344,30307.7475728155,48006.0825242718
memory CD4+ T cells,Regulatory T cells,88430.0,F81P1_88430,28786.3003533569,48647.4734982332
endothelial cells,Endothelial,88534.0,F81P1_88534,30869.6111111111,48352.7418300654
memory CD4+ T cells,Regulatory T cells,88681.0,F81P1_88681,30365.3939393939,48556.9653679654
memory CD4+ T cells,Regulatory T cells,88852.0,F81P1_88852,32732.8205128205,48549.2666666667
stromal cells,Stromal,88909.0,F81P1_88909,31167.4274406332,48456.7150395778
CD4+ T cells,CD4+ T cells,88934.0,F81P1_88934,31214.5348837209,47533.6782945736
dendritic cells,Dendritic cells,89010.0,F81P1_89010,31105.6270783848,48595.8456057007
memory CD8+ T cells,Effector CD8+ T cells,89041.0,F81P1_89041,30813.9225806452,48466.8838709677
memory CD4+ T cells,Regulatory T cells,89208.0,F81P1_89208,30896.662962963,48328.1296296296
memory CD8+ T cells,Effector CD8+ T cells,89338.0,F81P1_89338,31078.6233183857,48455.5650224215
stromal cells,Stromal,89380.0,F81P1_89380,29129.6587677725,48543.9573459716
CD4+ T cells,CD4+ T cells,89381.0,F81P1_89381,32347.1861471862,48589.6277056277
memory CD4+ T cells,Regulatory T cells,89394.0,F81P1_89394,31839.2628571429,47550.7085714286
endothelial cells,Endothelial,89504.0,F81P1_89504,28977.82,48171.015
endothelial cells,Endothelial,89669.0,F81P1_89669,33000.4464831804,48728.5229357798
CD4+ T cells,CD4+ T cells,89692.0,F81P1_89692,32362.1758241758,47847.2857142857
endothelial cells,Endothelial,89902.0,F81P1_89902,32825.4784482759,47955.9870689655
endothelial cells,Endothelial,90265.0,F81P1_90265,31100.5886792453,48485.1169811321
stromal cells,Stromal,90355.0,F81P1_90355,32564.096875,47555.55
memory CD4+ T cells,Regulatory T cells,90366.0,F81P1_90366,32003.995049505,47571.0445544554
memory CD4+ T cells,Regulatory T cells,90370.0,F81P1_90370,30769.0220588235,48240.75
CD4+ T cells,CD4+ T cells,90433.0,F81P1_90433,31736.2188841202,48383.2532188841
endothelial cells,Endothelial,90565.0,F81P1_90565,33034.3740740741,48490.2444444444
CD4+ T cells,CD4+ T cells,90566.0,F81P1_90566,32543.5115207373,47957.935483871
CD4+ T cells,CD4+ T cells,90745.0,F81P1_90745,33175.4234693878,47389.1785714286
endothelial cells,Endothelial,90818.0,F81P1_90818,32175.3622047244,47780.0157480315
effector CD8+ T cells,Effector CD8+ T cells,90837.0,F81P1_90837,32030.1586826347,47936.5119760479
stromal cells,Stromal,90947.0,F81P1_90947,29578.6746987952,48378.8072289157
endothelial cells,Endothelial,91081.0,F81P1_91081,31350.0825688073,48518.125382263
memory CD8+ T cells,Effector CD8+ T cells,91091.0,F81P1_91091,30947.0955414013,48674.0063694268
regulatory T cells,Regulatory T cells,91108.0,F81P1_91108,31298.48125,48386.01875
endothelial cells,Endothelial,91123.0,F81P1_91123,31529.0406091371,47570.4873096447
stromal cells,Stromal,91128.0,F81P1_91128,28658.5,48766.2760416667
memory CD4+ T cells,Regulatory T cells,91134.0,F81P1_91134,30948.4328358209,48497.9900497512
CD4+ T cells,CD4+ T cells,91379.0,F81P1_91379,32257.2016460905,48381.9670781893
CD4+ T cells,CD4+ T cells,91477.0,F81P1_91477,31159.981981982,48280.4099099099
CD4+ T cells,CD4+ T cells,91525.0,F81P1_91525,32263.0324675325,47681.8376623377
CD4+ T cells,CD4+ T cells,91664.0,F81P1_91664,31711.6088888889,48342.8311111111
endothelial cells,Endothelial,91689.0,F81P1_91689,33174.1680327869,47703.7868852459
memory CD8+ T cells,Effector CD8+ T cells,91827.0,F81P1_91827,30937.9686098655,48456.1704035874
endothelial cells,Endothelial,91849.0,F81P1_91849,32840.6891025641,48647.6185897436
regulatory T cells,Regulatory T cells,92443.0,F81P1_92443,31066.0062305296,48626.53894081
effector CD8+ T cells,Effector CD8+ T cells,92449.0,F81P1_92449,28778.0,48581.202020202
stromal cells,Stromal,92460.0,F81P1_92460,29303.9633333333,48389.1666666667
stromal cells,Stromal,92520.0,F81P1_92520,31790.1451612903,48033.9086021505
