phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
tumor cells,Tumor,51408.0,FAAGSCC_13_51408,33029.5748792271,23654.4154589372
Ki67+ tumor cells,Ki67+ tumor,51454.0,FAAGSCC_13_51454,32320.8097345133,23703.3075221239
tumor cells,Tumor,51500.0,FAAGSCC_13_51500,31794.933182333,24622.5855039638
Ki67+ tumor cells,Ki67+ tumor,51741.0,FAAGSCC_13_51741,31413.5740479549,24354.2496473907
Ki67+ tumor cells,Ki67+ tumor,52071.0,FAAGSCC_13_52071,31831.2432432432,23299.6363636364
tumor cells,Tumor,52113.0,FAAGSCC_13_52113,32637.405511811,23309.0236220472
tumor cells,Tumor,52145.0,FAAGSCC_13_52145,31017.934226553,23351.658952497
tumor cells,Tumor,52351.0,FAAGSCC_13_52351,32861.1209876543,24154.762962963
tumor cells,Tumor,52369.0,FAAGSCC_13_52369,33069.75,23835.7993421053
Ki67+ tumor cells,Ki67+ tumor,52682.0,FAAGSCC_13_52682,32401.4288224956,23797.8242530756
tumor cells,Tumor,52947.0,FAAGSCC_13_52947,32172.9210977702,24708.3653516295
Ki67+ tumor cells,Ki67+ tumor,53024.0,FAAGSCC_13_53024,33126.9206049149,23916.9603024575
tumor cells,Tumor,53250.0,FAAGSCC_13_53250,32743.0958677686,24500.5074380165
Ki67+ tumor cells,Ki67+ tumor,53259.0,FAAGSCC_13_53259,31964.9431034483,24131.0517241379
tumor cells,Tumor,53361.0,FAAGSCC_13_53361,32733.3757225434,23220.1290944123
other APCs,Other APCs,53500.0,FAAGSCC_13_53500,31750.4059753954,24447.7680140598
Ki67+ tumor cells,Ki67+ tumor,53577.0,FAAGSCC_13_53577,31430.3577235772,23298.5447154472
Ki67+ tumor cells,Ki67+ tumor,53737.0,FAAGSCC_13_53737,32123.3064516129,23517.8064516129
Ki67+ tumor cells,Ki67+ tumor,53800.0,FAAGSCC_13_53800,32913.9568527919,23544.8312182741
tumor cells,Tumor,53801.0,FAAGSCC_13_53801,32486.6038834951,23656.4291262136
tumor cells,Tumor,53805.0,FAAGSCC_13_53805,32210.833976834,24023.027027027
tumor cells,Tumor,53849.0,FAAGSCC_13_53849,32561.3873873874,23409.2486486486
Ki67+ tumor cells,Ki67+ tumor,54209.0,FAAGSCC_13_54209,31496.0477099237,23403.8377862595
tumor cells,Tumor,54704.0,FAAGSCC_13_54704,31249.6129568106,23260.6328903655
Ki67+ tumor cells,Ki67+ tumor,54914.0,FAAGSCC_13_54914,31843.5211492418,24476.7693535515
tumor cells,Tumor,54970.0,FAAGSCC_13_54970,31672.2507836991,24304.946708464
Ki67+ tumor cells,Ki67+ tumor,55038.0,FAAGSCC_13_55038,31368.0766423358,24233.704379562
tumor cells,Tumor,55149.0,FAAGSCC_13_55149,32113.064516129,24120.0184331797
Ki67+ tumor cells,Ki67+ tumor,55170.0,FAAGSCC_13_55170,32368.8153594771,24212.9836601307
tumor cells,Tumor,55282.0,FAAGSCC_13_55282,31767.8976744186,24165.8434108527
tumor cells,Tumor,55455.0,FAAGSCC_13_55455,31222.1078431373,24390.8431372549
tumor cells,Tumor,55579.0,FAAGSCC_13_55579,32965.0983240223,23879.7262569832
Ki67+ tumor cells,Ki67+ tumor,55591.0,FAAGSCC_13_55591,33050.0819366853,23922.1378026071
Ki67+ tumor cells,Ki67+ tumor,56302.0,FAAGSCC_13_56302,33009.0242326333,23332.7366720517
Ki67+ tumor cells,Ki67+ tumor,56434.0,FAAGSCC_13_56434,32332.3846153846,23753.9743589744
tumor cells,Tumor,57358.0,FAAGSCC_13_57358,32998.3298097252,23974.7864693446
tumor cells,Tumor,57439.0,FAAGSCC_13_57439,31338.6785046729,24172.1663551402
tumor cells,Tumor,57756.0,FAAGSCC_13_57756,32962.0207792208,23325.7584415584
Ki67+ tumor cells,Ki67+ tumor,58017.0,FAAGSCC_13_58017,33013.7526717557,23749.9267175573
tumor cells,Tumor,58425.0,FAAGSCC_13_58425,32440.7009735744,23763.2517385257
tumor cells,Tumor,58696.0,FAAGSCC_13_58696,32834.2525252525,23798.8484848485
tumor cells,Tumor,58767.0,FAAGSCC_13_58767,31984.5170454545,24289.0284090909
tumor cells,Tumor,58944.0,FAAGSCC_13_58944,32730.9096774194,23561.3698924731
Ki67+ tumor cells,Ki67+ tumor,58968.0,FAAGSCC_13_58968,32946.6124031008,23579.8589147287
Ki67+ tumor cells,Ki67+ tumor,59667.0,FAAGSCC_13_59667,32628.224952741,23952.6313799622
tumor cells,Tumor,59712.0,FAAGSCC_13_59712,32475.9413407821,24176.3491620112
Ki67+ tumor cells,Ki67+ tumor,60245.0,FAAGSCC_13_60245,32929.6696629213,24219.4337078652
tumor cells,Tumor,60650.0,FAAGSCC_13_60650,31173.058,23856.052
tumor cells,Tumor,61115.0,FAAGSCC_13_61115,32129.4607329843,24531.0890052356
Ki67+ tumor cells,Ki67+ tumor,61873.0,FAAGSCC_13_61873,32862.9977777778,24005.0844444444
Ki67+ tumor cells,Ki67+ tumor,62243.0,FAAGSCC_13_62243,31460.2057416268,23836.8827751196
Ki67+ tumor cells,Ki67+ tumor,62832.0,FAAGSCC_13_62832,31065.225433526,23948.1136801541
Ki67+ tumor cells,Ki67+ tumor,63074.0,FAAGSCC_13_63074,33131.0098039216,23559.1764705882
tumor cells,Tumor,63077.0,FAAGSCC_13_63077,32711.5769230769,24055.2087912088
tumor cells,Tumor,63316.0,FAAGSCC_13_63316,32845.8861788618,24025.7113821138
