phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
stromal cells,Stromal,392038.0,FAAGSCC_13_392038,30150.4850746269,19290.9925373134
stromal cells,Stromal,392117.0,FAAGSCC_13_392117,29765.6956521739,20190.2173913043
neutrophils,Neutrophils,392400.0,FAAGSCC_13_392400,30250.4945533769,20766.1045751634
endothelial cells,Endothelial,393061.0,FAAGSCC_13_393061,30279.9814814815,20235.8648148148
M2 macrophages,M2 macrophages,393128.0,FAAGSCC_13_393128,29389.1278026906,19857.4641255605
endothelial cells,Endothelial,393448.0,FAAGSCC_13_393448,30378.7958115183,20848.0183246073
stromal cells,Stromal,393746.0,FAAGSCC_13_393746,29180.6011235955,20082.2359550562
stromal cells,Stromal,393847.0,FAAGSCC_13_393847,29572.7215909091,20159.9204545455
stromal cells,Stromal,393885.0,FAAGSCC_13_393885,29998.9070247934,20883.0330578512
stromal cells,Stromal,394168.0,FAAGSCC_13_394168,30416.5374592834,19987.1074918567
endothelial cells,Endothelial,394198.0,FAAGSCC_13_394198,30277.1289198606,20506.8013937282
endothelial cells,Endothelial,394551.0,FAAGSCC_13_394551,30265.1437908497,20225.9150326797
stromal cells,Stromal,394694.0,FAAGSCC_13_394694,30328.4814814815,19336.5333333333
stromal cells,Stromal,395304.0,FAAGSCC_13_395304,30178.0857142857,19568.7523809524
stromal cells,Stromal,395575.0,FAAGSCC_13_395575,29575.8684210526,19514.0460526316
stromal cells,Stromal,395660.0,FAAGSCC_13_395660,29706.3213213213,19659.7837837838
stromal cells,Stromal,395699.0,FAAGSCC_13_395699,29153.8094117647,19524.5364705882
stromal cells,Stromal,395842.0,FAAGSCC_13_395842,30210.7831050228,20127.0388127854
stromal cells,Stromal,395955.0,FAAGSCC_13_395955,30000.7572815534,21031.8058252427
endothelial cells,Endothelial,396130.0,FAAGSCC_13_396130,29750.8215767635,20525.2821576763
stromal cells,Stromal,396192.0,FAAGSCC_13_396192,29095.4744744745,20099.9039039039
endothelial cells,Endothelial,396211.0,FAAGSCC_13_396211,29963.8424657534,20638.2876712329
M2 macrophages,M2 macrophages,396276.0,FAAGSCC_13_396276,29001.9166666667,19476.4761904762
stromal cells,Stromal,396486.0,FAAGSCC_13_396486,28883.9385964912,19762.4342105263
stromal cells,Stromal,396513.0,FAAGSCC_13_396513,30251.3805668016,19620.5344129555
stromal cells,Stromal,396826.0,FAAGSCC_13_396826,29872.9130434783,20305.3188405797
stromal cells,Stromal,396835.0,FAAGSCC_13_396835,29377.1176470588,20536.5196078431
M2 macrophages,M2 macrophages,397397.0,FAAGSCC_13_397397,30352.2784810127,20122.5189873418
M2 macrophages,M2 macrophages,397809.0,FAAGSCC_13_397809,30403.0733944954,20383.3944954128
stromal cells,Stromal,397857.0,FAAGSCC_13_397857,30393.0983606557,19102.7103825137
stromal cells,Stromal,398124.0,FAAGSCC_13_398124,29574.5480769231,19723.1442307692
endothelial cells,Endothelial,398593.0,FAAGSCC_13_398593,30170.1592920354,19749.6637168142
CD4+ T cells,CD4+ T cells,398964.0,FAAGSCC_13_398964,30080.8974358974,20878.3418803419
endothelial cells,Endothelial,399036.0,FAAGSCC_13_399036,30747.6783625731,19776.4444444444
stromal cells,Stromal,399040.0,FAAGSCC_13_399040,30219.8122866894,18964.2423208191
stromal cells,Stromal,399308.0,FAAGSCC_13_399308,29682.0565217391,20447.9217391304
endothelial cells,Endothelial,399583.0,FAAGSCC_13_399583,29644.8148148148,19482.7555555556
stromal cells,Stromal,399858.0,FAAGSCC_13_399858,30454.9913793103,20599.025862069
endothelial cells,Endothelial,399878.0,FAAGSCC_13_399878,31013.7647058824,19000.5084033613
stromal cells,Stromal,399962.0,FAAGSCC_13_399962,30184.6086956522,19261.3291925466
stromal cells,Stromal,400414.0,FAAGSCC_13_400414,30439.7007874016,19523.7086614173
endothelial cells,Endothelial,400643.0,FAAGSCC_13_400643,30824.7884615385,18843.3365384615
stromal cells,Stromal,400678.0,FAAGSCC_13_400678,30305.2561983471,19192.7851239669
endothelial cells,Endothelial,400701.0,FAAGSCC_13_400701,29792.2717842324,19041.3029045643
