phenotype,FinalPhenotype,CellID,unique_cellid,X_centroid,Y_centroid
Ki67+ tumor cells,Ki67+ tumor,1748.0,F82P1_1748,34456.061784897,5519.2356979405
tumor cells,Tumor,1783.0,F82P1_1783,31295.3253968254,4406.13174603175
tumor cells,Tumor,1792.0,F82P1_1792,34409.0453608247,6286.4969072165
tumor cells,Tumor,1831.0,F82P1_1831,34490.00625,5738.159375
tumor cells,Tumor,1839.0,F82P1_1839,31335.5802997859,4670.0920770878
tumor cells,Tumor,1876.0,F82P1_1876,32661.5101010101,5948.53787878788
tumor cells,Tumor,1917.0,F82P1_1917,32390.896749522,5866.25430210325
tumor cells,Tumor,1966.0,F82P1_1966,32228.0910852713,5841.64147286822
tumor cells,Tumor,1991.0,F82P1_1991,31426.8666666667,5007.05087719298
Ki67+ tumor cells,Ki67+ tumor,2011.0,F82P1_2011,31460.201623816,5653.97970230041
Ki67+ tumor cells,Ki67+ tumor,2024.0,F82P1_2024,34470.2768361582,5569.64971751412
tumor cells,Tumor,2094.0,F82P1_2094,32630.6943556976,4489.2225772098
tumor cells,Tumor,2212.0,F82P1_2212,33355.5381679389,4473.13549618321
tumor cells,Tumor,2241.0,F82P1_2241,33287.6804835924,4322.10535405872
tumor cells,Tumor,2253.0,F82P1_2253,32601.9974160207,5758.41343669251
tumor cells,Tumor,2326.0,F82P1_2326,33422.3694029851,4033.13805970149
tumor cells,Tumor,2397.0,F82P1_2397,32712.3973799127,5988.31004366812
NK,NK,2434.0,F82P1_2434,33985.320754717,5592.53773584906
tumor cells,Tumor,2452.0,F82P1_2452,34429.5670103093,6234.12371134021
tumor cells,Tumor,2584.0,F82P1_2584,34594.8402489627,6401.85477178423
NK,NK,2603.0,F82P1_2603,33330.0,6216.0
tumor cells,Tumor,2645.0,F82P1_2645,31486.4834710744,4973.04338842975
tumor cells,Tumor,2680.0,F82P1_2680,33454.8488372093,4126.96705426357
tumor cells,Tumor,2814.0,F82P1_2814,34490.6102941177,6560.33088235294
tumor cells,Tumor,2818.0,F82P1_2818,31193.9781718963,4297.1377899045
Ki67+ tumor cells,Ki67+ tumor,2909.0,F82P1_2909,33285.8245243129,5018.09725158562
tumor cells,Tumor,2917.0,F82P1_2917,33377.5974025974,4060.20923520924
tumor cells,Tumor,2943.0,F82P1_2943,31665.94092827,5816.37341772152
Ki67+ tumor cells,Ki67+ tumor,2994.0,F82P1_2994,34466.1732673267,5590.47277227723
tumor cells,Tumor,3134.0,F82P1_3134,31929.2317757009,5845.63551401869
tumor cells,Tumor,3170.0,F82P1_3170,34506.9406779661,6026.6384180791
tumor cells,Tumor,3258.0,F82P1_3258,34921.3776223776,6116.41025641026
tumor cells,Tumor,3273.0,F82P1_3273,31170.3394495413,4562.53899082569
tumor cells,Tumor,3278.0,F82P1_3278,31438.2655367232,5217.67043314501
Ki67+ tumor cells,Ki67+ tumor,3287.0,F82P1_3287,33766.8861538462,5691.78461538462
tumor cells,Tumor,3314.0,F82P1_3314,33015.0084210526,5883.92421052632
tumor cells,Tumor,3398.0,F82P1_3398,32134.4163179916,5482.4309623431
Ki67+ tumor cells,Ki67+ tumor,3725.0,F82P1_3725,34797.9797101449,6048.87246376812
tumor cells,Tumor,3812.0,F82P1_3812,31749.0549019608,6004.76666666667
tumor cells,Tumor,3841.0,F82P1_3841,34754.6976744186,6323.55813953488
tumor cells,Tumor,3869.0,F82P1_3869,31669.350262697,5756.73204903678
Ki67+ tumor cells,Ki67+ tumor,3924.0,F82P1_3924,34602.2166064982,6100.29602888087
tumor cells,Tumor,4014.0,F82P1_4014,32655.597107438,5058.43595041322
tumor cells,Tumor,4019.0,F82P1_4019,34713.3945371775,6128.03034901366
tumor cells,Tumor,4020.0,F82P1_4020,32635.2993492408,6003.09761388286
Ki67+ tumor cells,Ki67+ tumor,4024.0,F82P1_4024,32836.7028985507,6000.78743961353
tumor cells,Tumor,4030.0,F82P1_4030,32454.7874125874,5743.95384615385
tumor cells,Tumor,4073.0,F82P1_4073,32437.8366972477,5812.88073394495
Ki67+ tumor cells,Ki67+ tumor,4233.0,F82P1_4233,31211.3458646617,4800.22807017544
tumor cells,Tumor,4358.0,F82P1_4358,32490.1878453039,5819.34990791897
tumor cells,Tumor,4405.0,F82P1_4405,34439.1260504202,6323.84243697479
tumor cells,Tumor,4412.0,F82P1_4412,31226.6629834254,4483.95580110497
tumor cells,Tumor,4444.0,F82P1_4444,34633.1104294479,6394.79141104295
Ki67+ tumor cells,Ki67+ tumor,4697.0,F82P1_4697,34686.4489795918,6141.97667638484
tumor cells,Tumor,4712.0,F82P1_4712,34540.9475308642,6566.27160493827
tumor cells,Tumor,4869.0,F82P1_4869,33314.8908045977,4515.06896551724
tumor cells,Tumor,4917.0,F82P1_4917,34722.2307692308,6168.40384615385
tumor cells,Tumor,4973.0,F82P1_4973,32372.4963144963,4927.02211302211
tumor cells,Tumor,5108.0,F82P1_5108,34833.4851190476,6096.56845238095
tumor cells,Tumor,5189.0,F82P1_5189,33193.8377777778,4951.53333333333
tumor cells,Tumor,5205.0,F82P1_5205,33034.6066481995,5654.30470914127
tumor cells,Tumor,5217.0,F82P1_5217,31597.1649694501,6123.64358452139
tumor cells,Tumor,5316.0,F82P1_5316,32436.9465449804,5623.99608865711
tumor cells,Tumor,5371.0,F82P1_5371,32377.4791344668,4680.5455950541
tumor cells,Tumor,5462.0,F82P1_5462,32021.9802955665,5579.72167487685
tumor cells,Tumor,5521.0,F82P1_5521,32186.220657277,5767.1338028169
tumor cells,Tumor,5530.0,F82P1_5530,32528.6326164875,5750.23835125448
Ki67+ tumor cells,Ki67+ tumor,5581.0,F82P1_5581,34863.0706521739,6092.41304347826
Ki67+ tumor cells,Ki67+ tumor,5620.0,F82P1_5620,32507.3811881188,5976.23762376238
